ds,ticker,y
2023-06-22 08:00:00,롯데백화점에비뉴엘월드타워점,0.02059
2023-06-22 08:00:00,롯데월드몰,0.0046
2023-06-22 08:00:00,롯데월드잠실점,0.01198
2023-06-22 08:00:00,방이동 먹자골목,0.02925
2023-06-22 08:00:00,올림픽공원세계평화의문,0.03144
2023-06-22 08:00:00,잠실역 롯데월드,0.02109
2023-06-22 09:00:00,롯데백화점에비뉴엘월드타워점,0.0293
2023-06-22 09:00:00,롯데월드몰,0.00563
2023-06-22 09:00:00,롯데월드잠실점,0.02635
2023-06-22 09:00:00,방이동 먹자골목,0.03179
2023-06-22 09:00:00,올림픽공원세계평화의문,0.04006
2023-06-22 09:00:00,잠실역 롯데월드,0.02762
2023-06-22 10:00:00,롯데백화점에비뉴엘월드타워점,0.05572
2023-06-22 10:00:00,롯데월드몰,0.01459
2023-06-22 10:00:00,롯데월드잠실점,0.11624
2023-06-22 10:00:00,방이동 먹자골목,0.0325
2023-06-22 10:00:00,올림픽공원세계평화의문,0.04674
2023-06-22 10:00:00,잠실역 롯데월드,0.03672
2023-06-22 11:00:00,롯데백화점에비뉴엘월드타워점,0.09167
2023-06-22 11:00:00,롯데월드몰,0.02303
2023-06-22 11:00:00,롯데월드잠실점,0.1548
2023-06-22 11:00:00,방이동 먹자골목,0.03555
2023-06-22 11:00:00,올림픽공원세계평화의문,0.05147
2023-06-22 11:00:00,잠실역 롯데월드,0.04331
2023-06-22 12:00:00,롯데백화점에비뉴엘월드타워점,0.14119
2023-06-22 12:00:00,롯데월드몰,0.02956
2023-06-22 12:00:00,롯데월드잠실점,0.1834
2023-06-22 12:00:00,방이동 먹자골목,0.03849
2023-06-22 12:00:00,올림픽공원세계평화의문,0.0587
2023-06-22 12:00:00,잠실역 롯데월드,0.04805
2023-06-22 13:00:00,롯데백화점에비뉴엘월드타워점,0.13536
2023-06-22 13:00:00,롯데월드몰,0.03137
2023-06-22 13:00:00,롯데월드잠실점,0.19685
2023-06-22 13:00:00,방이동 먹자골목,0.03553
2023-06-22 13:00:00,올림픽공원세계평화의문,0.06482
2023-06-22 13:00:00,잠실역 롯데월드,0.04991
2023-06-22 14:00:00,롯데백화점에비뉴엘월드타워점,0.13219
2023-06-22 14:00:00,롯데월드몰,0.03227
2023-06-22 14:00:00,롯데월드잠실점,0.20821
2023-06-22 14:00:00,방이동 먹자골목,0.03464
2023-06-22 14:00:00,올림픽공원세계평화의문,0.05814
2023-06-22 14:00:00,잠실역 롯데월드,0.052
2023-06-22 15:00:00,롯데백화점에비뉴엘월드타워점,0.13824
2023-06-22 15:00:00,롯데월드몰,0.03134
2023-06-22 15:00:00,롯데월드잠실점,0.19762
2023-06-22 15:00:00,방이동 먹자골목,0.03431
2023-06-22 15:00:00,올림픽공원세계평화의문,0.05787
2023-06-22 15:00:00,잠실역 롯데월드,0.0504
2023-06-22 16:00:00,롯데백화점에비뉴엘월드타워점,0.13167
2023-06-22 16:00:00,롯데월드몰,0.03053
2023-06-22 16:00:00,롯데월드잠실점,0.21988
2023-06-22 16:00:00,방이동 먹자골목,0.03461
2023-06-22 16:00:00,올림픽공원세계평화의문,0.05286
2023-06-22 16:00:00,잠실역 롯데월드,0.05106
2023-06-22 17:00:00,롯데백화점에비뉴엘월드타워점,0.12783
2023-06-22 17:00:00,롯데월드몰,0.02841
2023-06-22 17:00:00,롯데월드잠실점,0.21014
2023-06-22 17:00:00,방이동 먹자골목,0.0373
2023-06-22 17:00:00,올림픽공원세계평화의문,0.04451
2023-06-22 17:00:00,잠실역 롯데월드,0.04978
2023-06-22 18:00:00,롯데백화점에비뉴엘월드타워점,0.13462
2023-06-22 18:00:00,롯데월드몰,0.02921
2023-06-22 18:00:00,롯데월드잠실점,0.19569
2023-06-22 18:00:00,방이동 먹자골목,0.04215
2023-06-22 18:00:00,올림픽공원세계평화의문,0.05536
2023-06-22 18:00:00,잠실역 롯데월드,0.04977
2023-06-22 19:00:00,롯데백화점에비뉴엘월드타워점,0.11292
2023-06-22 19:00:00,롯데월드몰,0.02887
2023-06-22 19:00:00,롯데월드잠실점,0.17397
2023-06-22 19:00:00,방이동 먹자골목,0.0458
2023-06-22 19:00:00,올림픽공원세계평화의문,0.05814
2023-06-22 19:00:00,잠실역 롯데월드,0.04231
2023-06-22 20:00:00,롯데백화점에비뉴엘월드타워점,0.1023
2023-06-22 20:00:00,롯데월드몰,0.02511
2023-06-22 20:00:00,롯데월드잠실점,0.13896
2023-06-22 20:00:00,방이동 먹자골목,0.04645
2023-06-22 20:00:00,올림픽공원세계평화의문,0.05425
2023-06-22 20:00:00,잠실역 롯데월드,0.03477
2023-06-22 21:00:00,롯데백화점에비뉴엘월드타워점,0.06259
2023-06-22 21:00:00,롯데월드몰,0.0176
2023-06-22 21:00:00,롯데월드잠실점,0.02249
2023-06-22 21:00:00,방이동 먹자골목,0.0446
2023-06-22 21:00:00,올림픽공원세계평화의문,0.03533
2023-06-22 21:00:00,잠실역 롯데월드,0.02354
2023-06-22 22:00:00,롯데백화점에비뉴엘월드타워점,0.01439
2023-06-22 22:00:00,롯데월드몰,0.00522
2023-06-22 22:00:00,롯데월드잠실점,0.0143
2023-06-22 22:00:00,방이동 먹자골목,0.03989
2023-06-22 22:00:00,올림픽공원세계평화의문,0.02031
2023-06-22 22:00:00,잠실역 롯데월드,0.01908
2023-06-22 23:00:00,롯데백화점에비뉴엘월드타워점,0.00864
2023-06-22 23:00:00,롯데월드몰,0.00098
2023-06-22 23:00:00,롯데월드잠실점,0.0041
2023-06-22 23:00:00,방이동 먹자골목,0.03506
2023-06-22 23:00:00,올림픽공원세계평화의문,0.00056
2023-06-22 23:00:00,잠실역 롯데월드,0.01429
2023-06-23 00:00:00,롯데백화점에비뉴엘월드타워점,0.00576
2023-06-23 00:00:00,롯데월드몰,0.00063
2023-06-23 00:00:00,롯데월드잠실점,0.00185
2023-06-23 00:00:00,방이동 먹자골목,0.03103
2023-06-23 00:00:00,올림픽공원세계평화의문,0.0
2023-06-23 00:00:00,잠실역 롯데월드,0.01273
2023-06-23 01:00:00,롯데백화점에비뉴엘월드타워점,0.00605
2023-06-23 01:00:00,롯데월드몰,0.00047
2023-06-23 01:00:00,롯데월드잠실점,0.00216
2023-06-23 01:00:00,방이동 먹자골목,0.02733
2023-06-23 01:00:00,올림픽공원세계평화의문,0.0
2023-06-23 01:00:00,잠실역 롯데월드,0.01165
2023-06-23 02:00:00,롯데백화점에비뉴엘월드타워점,0.00509
2023-06-23 02:00:00,롯데월드몰,0.00043
2023-06-23 02:00:00,롯데월드잠실점,0.00147
2023-06-23 02:00:00,방이동 먹자골목,0.02513
2023-06-23 02:00:00,올림픽공원세계평화의문,0.0
2023-06-23 02:00:00,잠실역 롯데월드,0.01172
2023-06-23 03:00:00,롯데백화점에비뉴엘월드타워점,0.00465
2023-06-23 03:00:00,롯데월드몰,0.00039
2023-06-23 03:00:00,롯데월드잠실점,0.00124
2023-06-23 03:00:00,방이동 먹자골목,0.0239
2023-06-23 03:00:00,올림픽공원세계평화의문,0.0
2023-06-23 03:00:00,잠실역 롯데월드,0.01153
2023-06-23 04:00:00,롯데백화점에비뉴엘월드타워점,0.00472
2023-06-23 04:00:00,롯데월드몰,0.00034
